joke
哪種動物最怕冷? 鴨子  因為呱呱呱
麵包走在路上扭到腳會變什麼？  就變牛角麵包
你相信人與人之間有純友誼嗎？ 那猴子跟猴子之間有什麼 猴友誼
打電話給烏龜? 猜一種蔬菜 摳歸
為什麼男同志的小孩都不會肚子餓？ 因為他們都有賈爸
為什麼很瘦很瘦的人都不說實話？因為他們紙片人
查字典比賽優勝 猜飲料店？ 鮮茶道
為什麼比較窮的人打手槍更舒服？ 因為手頭比較緊
陶晶瑩玩抖音？ 猜成語。晶瑩剔透
公雞生病誰來顧？  姑姑顧
中國歷代哪個皇帝長得最漂亮？ 秦始皇 因為他暴正
海獅獨處時會怎樣？會害怕 三隻海獅再一起會怎樣？ 不知所措
餅乾結婚後變成什麼？ 鬆餅
強尼上音樂課？ 強尼戴普
為什麼死刑犯不能拍三級片？ 因為他們最大二級
研究所為什麼喜歡垂奶？ 因為他們不喜歡咪挺
孔子告老子？ 邱吉爾 吳俊霖及連戰？ 五告戰  吳俊霖及連勝文？ 五告靠杯
哪一位藝人中午不吃飯？  中島美嘉
聖結石去中國後會變怎樣？ 變結石
保險套破掉？ 鼎泰豐
處事最周全的職業？ 伐木工。最安全的職業？零售商。最酸的職業？救生員
哪個國家做那件事最慢？ 斯洛伐克
